順位,貸出数,書誌情報,分類,ＩＳＢＮ
50,20,ルルとララのホットケーキ　　（おはなしトントン 27 Maple Street [「ルルとララ」シリーズ] [14]）　あんびる やすこ／作・絵　岩崎書店　2011.12　22cm　71p,913.6,4-265-06292-8
60,19,アンの青春　　（シリーズ赤毛のアン 2）　モンゴメリ／原作　ポプラ社　2009.3　18cm　292p,933,4-591-10792-8
60,19,アンパンマンをさがせ!　RED　やなせ たかし／原作　フレーベル館　2011.8　31cm　20p,E,4-577-03945-8
60,19,おたすけこびとのまいごさがし　なかがわ ちひろ／文　徳間書店　2011.6　22×31cm　[38p],E,4-19-863206-9
60,19,かいけつゾロリイシシ・ノシシ大ピンチ!!　　（ポプラ社の新・小さな童話 240 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2008.12　22cm　103p,913.6,4-591-10687-7
60,19,かいけつゾロリきょうふのちょうとっきゅう　　（[ポプラ社の新・小さな童話] [244] かいけつゾロリシリーズ 45）　原 ゆたか／さく・え　ポプラ社　2009.7　22cm　111p,913.6,4-591-11059-1
60,19,かいけつゾロリのなぞのおたから大さくせん　後編　　（ポプラ社の新・小さな童話 222 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2006.3　22cm　101p,913.6,4-591-09184-8
60,19,かいけつゾロリのはちゃめちゃテレビ局　　（[ポプラ社の新・小さな童話] [261] かいけつゾロリシリーズ 49）　原 ゆたか／さく・え　ポプラ社　2011.7　22cm　100p,913.6,4-591-12507-6
60,19,がたんごとんがたんごとん　　（福音館 あかちゃんの絵本）　安西 水丸／さく　福音館書店　1987.6　19×19cm　1冊,E,4-8340-0272-1
60,19,チャレンジミッケ!　2　ウォルター・ウィック／作　小学館　2006.3　26×26cm　26p,E,4-09-726082-0
60,19,チャレンジミッケ!　5　ウォルター・ウィック／作　小学館　2008.11　26×26cm　26p,E,4-09-726085-1
60,19,チャレンジミッケ!　9　ウォルター・ウィック／作　小学館　2012.10　26×26cm　26p,E,4-09-726089-9
60,19,でこちゃん　　（わたしのえほん）　つちだ のぶこ／さく・え　PHP研究所　2000.1　26cm　1冊,E,4-569-68209-X
60,19,ともだちは、サティー!　　（Green Books）　大塚 篤子／作　小峰書店　2013.6　20cm　182p,913.6,4-338-25012-2
60,19,はたらくのりものえほん　　（のりものしかけえほん）　いしかわ こうじ／作・絵　童心社　2014.2　16×16cm　[28p],E,4-494-00838-4
60,19,やさいいろいろかくれんぼ　　（これなあに?かたぬきえほん 7）　いしかわ こうじ／作・絵　ポプラ社　2011.1　16×16cm　[32p],E,4-591-12223-5
60,19,ルルとララのシャーベット　　（おはなしトントン 18 Maple Street [「ルルとララ」シリーズ] [11]）　あんびる やすこ／作・絵　岩崎書店　2010.4　22cm　71p,913.6,4-265-06283-6
60,19,ルルとララのにこにこクリーム　　（おはなしトントン 39 Maple Street [「ルルとララ」シリーズ] [16]）　あんびる やすこ／作・絵　岩崎書店　2013.2　22cm　71p,913.6,4-265-06717-6
60,19,ルルとララのふんわりムース　　（おはなしトントン 23 Maple Street [「ルルとララ」シリーズ] [13]）　あんびる やすこ／作・絵　岩崎書店　2011.6　22cm　71p,913.6,4-265-06288-1
78,18,アンパンマンをさがせ!　BLUE　やなせ たかし／原作　フレーベル館　2011.12　31cm　20p,E,4-577-03947-2
78,18,おさるのジョージチョコレートこうじょうへいく　M.レイ／原作　岩波書店　1999.10　21×22cm　24p,E,4-00-110893-3
78,18,おしいれのぼうけん　　（絵本ぼくたちこどもだ 1）　ふるた たるひ／さく　童心社　1980　27cm　77p,E,4-494-00606-8
78,18,おたすけこびととハムスター　なかがわ ちひろ／文　徳間書店　2012.11　22×31cm　[38p],E,4-19-863519-0
78,18,おばけのどろんどろんとぴかぴかおばけ　わかやま けん／作・絵　ポプラ社　1981.8　25cm　32p,E,4-591-00447-3
78,18,かいけつゾロリのおばけ大さくせん　　（ポプラ社の新・小さな童話 116 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1995.6　22cm　86p,913.6,4-591-04801-2
78,18,かいけつゾロリのきょうふのサッカー　　（ポプラ社の新・小さな童話 95 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　1993.12　22cm　85p,913.6,4-591-03095-4
78,18,こいぬいっぱいめちゃカワめいろブック　WILLこども知育研究所／編集　金の星社　2011.12　31cm　27p,645.6,4-323-07205-0
78,18,しんごうごうくんはたらくくるまなにかな?　　（はじめてであうえほんシリーズ）　やまもと しょうぞう／さく　くもん出版　2009.12　19×19cm　23p,E,4-7743-1694-9
78,18,時をつなぐおもちゃの犬　マイケル・モーパーゴ／作　あかね書房　2013.6　21cm　142p,933,4-251-07305-1
78,18,動物と話せる少女リリアーネ　2　タニヤ・シュテーブナー／著　学研教育出版　2010.9　19cm　263p,943,4-05-203249-3
78,18,動物と話せる少女リリアーネ　7　タニヤ・シュテーブナー／著　学研教育出版　2012.4　19cm　263p,943,4-05-203572-2
78,18,動物と話せる少女リリアーネ　9下巻　タニヤ・シュテーブナー／著　学研教育出版　2013.10　19cm　199p,943,4-05-203830-3
78,18,どんぐりむらのどんぐりえん　なかや みわ／さく　学研教育出版　2013.9　21×30cm　[32p],E,4-05-203803-7
78,18,忍たま乱太郎　[49]　　（ポプラ社の新・小さな童話 242）　尼子 騒兵衛／原作　ポプラ社　2009.3　22cm　79p,913.6,4-591-10849-9
78,18,はたらくくるましょうぼうじどうしゃウーウー　　（はじめてであうえほんシリーズ）　やまもと しょうぞう／さく　くもん出版　2011.11　19×19cm　[24p],E,4-7743-2009-0
78,18,フンガくん　国松 エリカ／作　小学館　1996.11　27cm　1冊,E,4-09-727089-3
78,18,ホタルの光は、なぞだらけ　　（くもんジュニアサイエンス）　大場 裕一／著　くもん出版　2013.7　22cm　119p,468,4-7743-2177-6
78,18,冒険!発見!大迷路時空列車クロノス　原 裕朗／作・絵　ポプラ社　2012.7　31cm　32p,E,4-591-12985-2
78,18,ミッケ!　7　ウォルター・ウィック／写真　小学館　2002　31?　32p,E,4-09-727357-4
78,18,ミッケ!　8　ウォルター・ウィック／写真　小学館　2003　31?　32p,E,4-09-727358-2
99,17,アンパンマンをさがせ!　GREEN　やなせ たかし／原作　フレーベル館　2011.11　31cm　20p,E,4-577-03946-5
99,17,アンパンマンとシャボンダマン　　（アンパンマン・リターンズ 7）　やなせ たかし／原作　フレーベル館　2009.9　20×22cm　[24p],E,4-577-03733-1
99,17,いいからいいから　4　長谷川 義史／作　絵本館　2010.5　28cm　[24p],E,4-87110-181-3
99,17,おかあさん　　（みつばちえほんシリーズ）　中村 徹／作　佼成出版社　2011.4　21×21cm　25p,E,4-333-02485-8
