順位,貸出数,書誌情報,分類,ＩＳＢＮ
53,46,がたんごとんがたんごとん　　（福音館 あかちゃんの絵本）　安西 水丸／さく　福音館書店　1987.6　19×19cm　1冊,E,4-8340-0272-1
53,46,そらまめくんのベッド　　（こどものとも傑作集）　なかや みわ／さく・え　福音館書店　1999.9　20×27cm　27p,E,4-8340-1629-3
55,45,うずらちゃんのかくれんぼ　　（幼児絵本シリーズ）　きもと ももこ／さく　福音館書店　1994.2　22cm　31p,E,4-8340-1230-1
55,45,かいけつゾロリやせるぜ!ダイエット大さくせん　　（ポプラ社の新・小さな童話 233 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2007.12　22cm　102p,913.6,4-591-10014-1
55,45,恐竜トリケラトプスジュラ紀にいく　　（恐竜の大陸）　黒川 みつひろ／作絵　小峰書店　1997.6　31cm　39p,E,4-338-10106-7
55,45,恐竜トリケラトプスの大めいろ　　（たたかう恐竜たち 別巻）　黒川 みつひろ／作絵　小峰書店　2002.12　29cm　25p,E,4-338-17304-1
55,45,こぐまちゃんとふうせん　　（こぐまちゃんえほん 3）　わかやま けん／[絵]　こぐま社　1980　20×22cm　1冊,E,4-7721-0030-X
55,45,ダンスダンスタッタッタ　　（かどのえいこのちいさなえほん 1）　かどの えいこ／ぶん　ポプラ社　2009.3　19×19cm　[24p],E,4-591-10848-2
55,45,むしさんどこいくの?　　（とことこえほん）　得田 之久／さく　童心社　2006.6　21cm　[24p],E,4-494-00390-5
62,44,かいけつゾロリカレーvs.ちょうのうりょく　　（ポプラ社の新・小さな童話 237 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2008.7　22cm　105p,913.6,4-591-10396-8
62,44,かいけつゾロリまもるぜ!きょうりゅうのたまご　　（ポプラ社の新・小さな童話 226 かいけつゾロリシリーズ）　原 ゆたか／さく・え　ポプラ社　2006.12　22cm　95p,913.6,4-591-09512-6
62,44,のりものいろいろかくれんぼ　　（これなあに?かたぬきえほん 2）　いしかわ こうじ／作・絵　ポプラ社　2006.5　16×16cm　[32p],E,4-591-09238-0
62,44,バムとケロのさむいあさ　島田 ゆか／作 絵　文渓堂　1996.12　22×28cm　1冊,E,4-89423-158-1
66,43,かいけつゾロリなぞのスパイとチョコレート　　（[ポプラ社の新・小さな童話] [276] かいけつゾロリシリーズ 52）　原 ゆたか／さく・え　ポプラ社　2012.12　22cm　102p,913.6,4-591-13169-5
66,43,そらまめくんとめだかのこ　　（こどものとも傑作集）　なかや みわ／さく　福音館書店　2000.9　20×27cm　27p,E,4-8340-1701-X
